nama_produk,kategori,harga,kualitas,garansi,instalasi,support,maintenance,deskripsi,gambar
Paket CCTV Premium,CCTV,5000000,Kualitas Premium,Garansi Resmi,Instalasi Gratis,Support 24/7,Maintenance Berkala,Paket CCTV lengkap dengan 8 kamera HD dan DVR 8 channel,cctv_premium.jpg
Access Control Basic,Access Control,2000000,Kualitas Standard,Garansi 1 Tahun,Instalasi Berbayar,Support 8 Jam,Maintenance Berbayar,Sistem kontrol akses fingerprint untuk 100 user,access_basic.jpg
Barrier Gate Auto,Barrier Gate,3000000,Kualitas Premium,Garansi Resmi,Instalasi Gratis,Support 16 Jam,Maintenance Berkala,Barrier gate otomatis dengan remote control,barrier_auto.jpg
Internet Dedicated 10Mbps,Internet Dedicated,800000,Kualitas Premium,Garansi Resmi,Instalasi Gratis,Support 24/7,Maintenance Gratis,Koneksi internet dedicated 10Mbps dengan bandwidth stabil,internet_10mbps.jpg
Smart Home Basic,Smart Solution,5000000,Kualitas Standard,Garansi 1 Tahun,Instalasi Berbayar,Support 8 Jam,Maintenance Berbayar,Paket smart home dasar dengan 5 device IoT,smart_basic.jpg
CCTV Dome HD,CCTV,1500000,Kualitas Standard,Garansi 1 Tahun,Instalasi Berbayar,Support 8 Jam,Maintenance Berbayar,Kamera dome HD 2MP dengan IR night vision,dome_hd.jpg
Access Control Pro,Access Control,3500000,Kualitas Premium,Garansi Resmi,Instalasi Gratis,Support 24/7,Maintenance Berkala,Sistem kontrol akses multi-teknologi (fingerprint, card, PIN),access_pro.jpg
Barrier Gate Premium,Barrier Gate,4500000,Kualitas Premium,Garansi Resmi,Instalasi Gratis,Support 24/7,Maintenance Berkala,Barrier gate premium dengan sistem anti-collision,barrier_premium.jpg
Internet Dedicated 50Mbps,Internet Dedicated,1500000,Kualitas Premium,Garansi Resmi,Instalasi Gratis,Support 24/7,Maintenance Gratis,Koneksi internet dedicated 50Mbps untuk bisnis besar,internet_50mbps.jpg
Smart Home Premium,Smart Solution,8000000,Kualitas Premium,Garansi Resmi,Instalasi Gratis,Support 24/7,Maintenance Berkala,Paket smart home lengkap dengan 15 device IoT,smart_premium.jpg
